รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01356103," ภาษาฝรั่งเศสเบื้องต้น III
 (Elementary French III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01356104," ภาษาฝรั่งเศสเบื้องต้น IV
 (Elementary French IV)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01357101," ภาษาเยอรมันเบื้องต้น I
 (Elementary German I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01357102," ภาษาเยอรมันเบื้องต้น II
 (Elementary German II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01357103," ภาษาเยอรมันเบื้องต้น III
 (Elementary German III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต"
01357104," ภาษาเยอรมันเบื้องต้น IV
 (Elementary German IV)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01358101," ภาษาญี่ปุ่นเบื้องต้น I
 (Elementary Japanese I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01358102," ภาษาญี่ปุ่นเบื้องต้น II
 (Elementary Japanese II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01358103," ภาษาญี่ปุ่นเบื้องต้น III
 (Elementary Japanese III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01358104," --ปิดรายวิชา--
 ภาษาญี่ปุ่นเบื้องต้น IV (Elementary Japanese IV)
 (ภาคต้น ปีการศึกษา 2564 - ภาคปลาย ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,--ปิดรายวิชา--,-
01361101," การใช้ภาษาไทยเบื้องต้น
 (Introductory Thai Usage)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01361102," การเขียนภาษาไทยเชิงปฏิบัติ
 (Thai Practical Writing)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01361103," การอ่านภาษาไทยเชิงวิจารณ์
 (Thai Critical Reading)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01362101," ภาษาจีน I
 (Chinese I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01362102," ภาษาจีน II
 (Chinese II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01362201," ภาษาจีน III
 (Chinese III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01362202," ภาษาจีน IV
 (Chinese IV)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01362301," ภาษาจีน V
 (Chinese V)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01364101," ภาษาสเปนเพื่อการสื่อสาร I (Spanish for Communication I)
 ***(ภาคการศึกษาที่ 1 ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01364102," ภาษาสเปนเพื่อการสื่อสาร II (Spanish for Communication II)
 ***(ภาคการศึกษาที่ 1 ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01364103," ภาษาสเปนเพื่อการสื่อสาร III (Spanish for Communication III)
 ***(ภาคการศึกษาที่ 1 ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01371111," สื่อสารสนเทศเพื่อการเรียนรู้
 (Information Media for Learning)",1(1-0-2),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01373103," เรื่องเล่ากับการแพทย์ (Narrative and Medicine)
 ",3(3-0-6),คณะมนุษยศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01387101," ศิลปะการอยู่ร่วมกับผู้อื่น
 (The Art of Living with Others)",3(3-0-6),คณะมนุษยศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01387102," ปรัชญาสำหรับชีวิตยุคใหม่
 (Philosophy for Modern Life)",3(3-0-6),คณะมนุษยศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01387103," ปรัชญาเศรษฐกิจพอเพียงกับพุทธศาสนา
 (Philosophy of Sufficiency Economics and Buddhism)",3(3-0-6),คณะมนุษยศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
8 - ด้านความเป็นพลเมือง"
01387105," พุทธจริยศาสตร์ในการดำเนินธุรกิจ
 (Buddhist Ethics of Business Operations)",3(3-0-6),คณะมนุษยศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01388101," ชีวิตงามด้วยจริยธรรม (Beautiful Life with Ethics)
 ***ชื่อเดิม: จริยธรรมเพื่อสุนทรียภาพแห่งชีวิต 
                     (Ethics for the Aesthetics of Life)",3(3-0-6),คณะมนุษยศาสตร์,สุนทรียศาสตร์,"1- ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง"
01390102," การท่องเที่ยวเชิงสร้างสรรค์
 (Creative Tourism)",3(3-0-6),คณะมนุษยศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01390103," การท่องเที่ยวเพื่อความผาสุก
 (Tourism for Well-Being)",3(3-0-6),คณะมนุษยศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง"
01390104," การพัฒนาบุคลิกภาพเพื่อการเป็นผู้ประกอบการสมัยใหม่
 (Personality Development for Modern Entrepreneur)",3(3-0-6),คณะมนุษยศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด"
01395101," ภาษาเกาหลีเพื่อการสื่อสาร I
 (Communicative Korean I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ"
01395102," ภาษาเกาหลีเพื่อการสื่อสาร II
 (Communicative Korean II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ"
01395103," ภาษาเกาหลีเพื่อการสื่อสาร III
 (Communicative Korean III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
5 - ด้านพหุวัฒนธรรม"
01395104," ภาษาเกาหลีเพื่อการสื่อสาร IV
 (Communicative Korean IV)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01395105," --ปิดรายวิชา--
 การอ่านและรายงานภาษาเกาหลี (Korean Reading and Oral Report)
 ***(ภาคต้น ปีการศึกษา 2564 - ภาคปลาย ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,--ปิดรายวิชา--,-
01399101," ภาษาเวียดนามเพื่อการสื่อสาร I
 (Communicative Vietnamese I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ"
01399102," ภาษาเวียดนามเพื่อการสื่อสาร II
 (Communicative Vietnamese II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ"
01399103," ภาษาเวียดนามเพื่อการสื่อสาร III
 (Communicative Vietnamese III)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ"
01399104," --ปิดรายวิชา--
 ภาษาเวียดนามเพื่อการสื่อสาร IV (Communicative Vietnamese IV)
 ***(ภาคต้น ปีการศึกษา 2564 - ภาคปลาย ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,--ปิดรายวิชา--,-
01399105," --ปิดรายวิชา--
 การอ่านภาษาเวียดนาม (Vietnamese Reading)
 ***(ภาคต้น ปีการศึกษา 2564 - ภาคปลาย ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,--ปิดรายวิชา--,-
01399106,"  --ปิดรายวิชา--
 การฟัง-พูดภาษาเวียดนาม (Vietnamese Listening and Speaking)
 ***(ภาคต้น ปีการศึกษา 2564 - ภาคปลาย ปีการศึกษา 2566)",3(3-0-6),คณะมนุษยศาสตร์,--ปิดรายวิชา--,-
01401201," พืชเพื่อการสร้างคุณค่าชีวิต
 (Plants for Value of Life Creation)",3(3-0-6),คณะวิทยาศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01402101," การรู้เท่าทันผลิตภัณฑ์เสริมความงาม
 (Beauty Products Literacy)",3(3-0-6),คณะวิทยาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง"
01416101," พันธุศาสตร์ในสื่อ
 (Genetics in Media)",3(3-0-6),คณะวิทยาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง"
01417181," ความมั่งคั่งทางการเงินส่วนบุคคล
 (Personal Financial Wealth)",3(3-0-6),คณะวิทยาศาสตร์,-,"3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01418101," การใช้งานคอมพิวเตอร์
 (Computer Applications)",1(0-2-1),คณะวิทยาศาสตร์,ภาษากับการสื่อสาร,1 - ด้านการสื่อสารและสารสนเทศ
01418102," เทคโนโลยีสารสนเทศเพื่อผู้ประกอบการ
 (Information Technology for Entrepreneurs)",3(3-0-6),คณะวิทยาศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด"
01418103," สุขภาพและสังคมดิจิทัล
 (Health and Digital Society)",2(2-0-4),คณะวิทยาศาสตร์,อยู่ดีมีสุข,-
01418104," รู้ทันไอที
 (IT Updates)",2(2-0-4),คณะวิทยาศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01418105," ศิลปะสร้างสรรค์ดิจิทัล
 (Digital Creative Arts)",3(2-2-5),คณะวิทยาศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด"
01418106," ทักษะเทคโนโลยีดิจิทัล
 (Digital Technology Skills)",3(2-2-5),คณะวิทยาศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01420201," อัญมณีและเครื่องประดับ
 (Gems and Jewelry)",3(3-0-6),คณะวิทยาศาสตร์,สุนทรียศาสตร์,-
01421201," รังสี ชีวิต และสิ่งแวดล้อม
 (Radiation, Life and Environment)",2(2-0-4),คณะวิทยาศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง"
01448101," ยางรอบตัวเรา
 (Rubber Around Us)",3(3-0-6),คณะวิทยาศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01448102," การใช้ประโยชน์วัสดุในโมเดลเศรษฐกิจบีซีจี 
 (Material Utilization in BCG Economy Model)",3(3-0-6),คณะวิทยาศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01448103," ผืนผ้าที่ใช่กับเสื้อผ้าที่ชอบ
 (Right Fabric in the Right Clothes)",3(3-0-6),คณะวิทยาศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01453101," สิทธิขั้นพื้นฐาน
 (Fundamental Rights)",3(3-0-6),คณะสังคมศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01453102," กฎหมายในชีวิตประจำวัน
 (Law in Everyday Life)",3(3-0-6),คณะสังคมศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01453103," กฎหมายสำหรับผู้ประกอบการใหม่
 (Laws for New Entrepreneur)",3(3-0-6),คณะสังคมศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด"
01455101," การเมืองโลกในชีวิตประจำวัน
 (Global Politics in Daily Life)",3(3-0-6),คณะสังคมศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01459101," จิตวิทยาเพื่อชีวิตสมัยใหม่
 (Psychology for Modern Life)",3(3-0-6),คณะสังคมศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01459102," จิตวิทยากับความหลากหลายของมนุษย์
 (Psychology and Human Diversity)",3(3-0-6),คณะสังคมศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01460101," สังคมและวัฒนธรรมไทยร่วมสมัย
 (Contemporary Thai Society and Culture)",3(3-0-6),คณะสังคมศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01931101," ทักษะชีวิตในสังคมไทยสำหรับชาวต่างชาติ 
 (Life Skills in Thai Society for Foreigners)",3(3-0-6),วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง"
01931102," Resilience and Sustainable Development Goals",3(3-0-6),วิทยาลัยนานาชาติ,-,"1- ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง"
01931103," Low Carbon Life for a Greener Future",3(3-0-6),วิทยาลัยนานาชาติ,-,"1- ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง"
01931104," Beverages in Thai Culture",3(3-0-6),วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต"
01931105," Foresight for Life",3(3-0-6),วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01931106," AI Awareness and Literacy",1(1-0-2),วิทยาลัยนานาชาติ,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01950113," โรคติดเชื้อรอบตัวเรา
 (Infectious Diseases Around Us)",3(3-0-6),คณะแพทยศาสตร์,-,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01999011," อาหารเพื่อมนุษยชาติ
 (Food for Mankind)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
8 - ด้านความเป็นพลเมือง"
01999012," สุขภาพเพื่อชีวิต
 (Health for Life)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง"
01999013," พลเมืองดิจิทัล
 (Digital Citizens)",3(2-2-5),วิทยาลัยบูรณาการศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01999021," ภาษาไทยเพื่อการสื่อสารในงานวิชาการและวิชาชีพ 
 (Thai Language for Academic and Professional Communication)
 ***ชื่อเดิม: ภาษาไทยเพื่อการสื่อสาร",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01999022," ภาษาไทยในบริบทวัฒนธรรมสำหรับชาวต่างชาติ
 (Thai Language in Cultural Context for Foreigners)
 ***ชื่อเดิม: ภาษาไทยในบริบทวัฒนธรรม",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต"
01999023," ทักษะความเข้าใจและใช้เทคโนโลยีดิจิทัล
 (Digital Literacy)","2(1-2-3) ",วิทยาลัยบูรณาการศาสตร์,ภาษากับการสื่อสาร,"1- ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7- ด้านการเรียนรู้ตลอดชีวิต
8- ด้านความเป็นพลเมือง"
01999031," มรดกอารยธรรมโลก
 (The Heritage of World Civilizations)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01999032," ไทยศึกษา
 (Thai Studies)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,พลเมืองไทยและพลเมืองโลก,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
7 - ด้านการเรียนรู้ตลอดชีวิต"
01999033," ศิลปะการดำเนินชีวิต
 (Arts of Living)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง"
01999034," ศิลปวิจักษณ์
 (Art Perception)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01999035," วัฒนธรรมดนตรีกับชีวิต
 (Music Culture in Life)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,สุนทรียศาสตร์,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01999036," ความสุขในพลวัตของชีวิต
 (Happiness amongst Life Dynamics)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง"
01999041," เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี
 (Economics for Better Living)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01999043," การคิดสร้างสรรค์เพื่อการจัดการคุณค่า
 (Creativity for Value Management)",3(3-0-6),วิทยาลัยบูรณาการศาสตร์,ศาสตร์แห่งผู้ประกอบการ,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
3 - ด้านการเป็นผู้ประกอบการ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
