รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01175151," ศิลปะการป้องกันตัวและการต่อสู้ด้วยดาบไทย
 (Martial Art with Thai Sword)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175152," ศิลปะการป้องกันตัวและการต่อสู้ด้วยดาบสากล
 (Martial Arts with Fencing)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175153," ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยไทย
 (Martial Art with Thai Boxing)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175154," ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยสากล
 (Martial Art with Boxing)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175155," ศิลปะการป้องกันตัวและการต่อสู้ด้วยยูโด
 (Martial Art with Judo)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175156," ศิลปะการป้องกันตัวและการต่อสู้ด้วยไอคิโด
 (Martial Art with Aikido)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175157," ศิลปะการป้องกันตัวและการต่อสู้ด้วยกระบี่กระบอง
 (Martial Art with Krabi-Krabong)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175159," ศิลปะการป้องกันตัวและการต่อสู้ด้วยคาราเต้
 (Martial Art with Karate)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175161," ฝึกสมองด้วยการเล่นบริดจ์
 (Brain Training with Playing Bridge)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
01175162," โบว์ลิ่งเพื่อสุขภาพ
 (Bowling for Health)",1(0-2-1),คณะศึกษาศาสตร์,อยู่ดีมีสุข,"4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต"
